,recipe_id,ing_id
793,2936.0,129
794,2579.0,129
795,3401.0,129
796,3288.0,129
797,3401.0,129
798,1987.0,129
799,2815.0,129
800,2462.0,129
801,2500.0,129
802,3400.0,130
803,1216.0,131
804,2026.0,131
805,3480.0,131
806,2040.0,131
807,2512.0,131
808,3539.0,131
809,2098.0,132
810,3001.0,132
811,3270.0,132
812,690.0,132
813,1341.0,133
814,1378.0,133
815,2365.0,133
816,1754.0,133
817,3239.0,133
818,2951.0,133
819,3031.0,134
820,2591.0,134
821,3037.0,134
822,3268.0,134
823,3407.0,134
824,1714.0,134
825,3001.0,134
826,3042.0,134
827,3557.0,134
828,3596.0,134
829,1175.0,134
830,3597.0,134
831,1384.0,134
832,3583.0,134
833,3519.0,134
834,2532.0,135
835,2572.0,136
836,2047.0,136
837,3465.0,136
838,1292.0,136
839,997.0,136
840,3184.0,136
841,1289.0,136
842,1300.0,136
843,1300.0,136
844,1329.0,136
845,3258.0,136
846,1295.0,136
847,1090.0,136
848,2711.0,136
849,1286.0,136
850,3252.0,136
851,1301.0,136
852,313.0,136
853,3408.0,137
854,2812.0,137
855,374.0,137
856,1952.0,138
857,1103.0,138
858,2418.0,138
859,2109.0,138
860,843.0,138
861,438.0,138
862,2189.0,138
863,470.0,138
864,2544.0,138
865,2664.0,138
866,700.0,138
867,1978.0,138
868,762.0,138
869,1213.0,138
870,3553.0,138
871,1910.0,138
872,3032.0,138
873,1410.0,138
874,3676.0,138
875,3185.0,138
876,253.0,138
877,1488.0,138
878,1217.0,138
879,2989.0,139
880,2970.0,139
881,3233.0,139
882,661.0,139
883,2063.0,139
884,3623.0,139
885,476.0,139
886,1948.0,139
887,3490.0,139
888,679.0,139
889,3137.0,139
891,2794.0,139
892,2985.0,139
893,1495.0,139
894,3648.0,139
895,1948.0,139
896,1492.0,139
898,2685.0,139
899,2989.0,139
900,2331.0,139
901,2683.0,139
902,661.0,139
903,663.0,139
904,2989.0,139
905,3328.0,139
906,3407.0,139
907,3287.0,139
908,2779.0,139
909,2010.0,139
910,1276.0,139
911,403.0,139
912,2989.0,139
913,2063.0,139
914,2537.0,139
915,1493.0,139
916,3492.0,140
917,1186.0,140
918,2661.0,140
919,2214.0,141
920,1292.0,141
921,1497.0,141
922,1787.0,141
923,1513.0,141
924,3457.0,141
925,2655.0,141
926,555.0,141
927,2818.0,141
928,1305.0,141
929,1507.0,141
930,3611.0,141
931,1703.0,141
932,799.0,141
933,1859.0,141
934,3187.0,141
935,1871.0,141
936,3212.0,141
937,3611.0,141
938,2782.0,141
939,65.0,141
940,2671.0,141
941,1090.0,141
942,2692.0,141
943,2882.0,141
944,2999.0,141
945,3409.0,142
946,1577.0,142
947,2760.0,143
948,3302.0,144
949,3557.0,144
950,634.0,144
951,29.0,144
952,13.0,144
953,97.0,144
954,3402.0,145
955,3402.0,145
956,3468.0,145
957,2665.0,146
958,3410.0,147
959,3410.0,147
960,2127.0,148
961,3410.0,148
962,2609.0,148
963,3404.0,148
964,3293.0,149
965,3293.0,149
966,3453.0,149
967,3405.0,150
968,2693.0,151
969,2686.0,151
970,1763.0,151
971,3679.0,151
972,194.0,151
973,2915.0,151
974,1855.0,151
975,2686.0,151
976,2701.0,151
977,835.0,151
978,1895.0,151
979,1897.0,151
980,2699.0,151
981,1855.0,151
982,1857.0,151
983,2696.0,151
984,2703.0,151
985,3646.0,151
986,1316.0,152
987,661.0,152
988,651.0,152
989,1241.0,152
990,3678.0,152
991,2182.0,152
992,702.0,152
993,863.0,152
994,2139.0,152
995,2178.0,152
996,3233.0,152
997,1772.0,152
998,2794.0,152
999,3287.0,152
1000,2606.0,152
1001,2808.0,152
1002,3616.0,152
1003,1428.0,152
1004,635.0,152
1005,48.0,152
1006,2153.0,152
1007,3295.0,152
1009,2153.0,152
